25-08-06 14:51:15.788 - INFO: ----------------------------------------------------
25-08-06 14:51:15.789 - INFO: ==> Resuming Training with learning rate:0.0003
25-08-06 14:51:15.789 - INFO: ----------------------------------------------------
25-08-06 14:51:16.442 - INFO: 0001 00000 diff=0.177752, exp_diff=0.177758, Loss_Reg=0.177752, Lambda=0.066667, Loss_Rev=1.599807, Loss_All=1.777559, Time=0.5522
25-08-06 14:51:16.502 - INFO: 0001 00001 diff=0.503007, exp_diff=0.503011, Loss_Reg=0.503007, Lambda=0.066667, Loss_Rev=4.527090, Loss_All=5.030097, Time=0.0542
25-08-06 14:51:16.558 - INFO: 0001 00002 diff=0.242884, exp_diff=0.242881, Loss_Reg=0.242884, Lambda=0.066667, Loss_Rev=2.185935, Loss_All=2.428819, Time=0.0535
25-08-06 14:51:16.611 - INFO: 0001 00003 diff=0.089099, exp_diff=0.089095, Loss_Reg=0.089099, Lambda=0.066667, Loss_Rev=0.801867, Loss_All=0.890966, Time=0.0514
25-08-06 14:51:16.670 - INFO: 0001 00004 diff=0.154932, exp_diff=0.154928, Loss_Reg=0.154932, Lambda=0.066667, Loss_Rev=1.394361, Loss_All=1.549293, Time=0.0537
25-08-06 14:51:16.723 - INFO: 0001 00005 diff=0.175609, exp_diff=0.175601, Loss_Reg=0.175609, Lambda=0.066667, Loss_Rev=1.580434, Loss_All=1.756043, Time=0.0514
25-08-06 14:51:16.776 - INFO: 0001 00006 diff=0.111515, exp_diff=0.111501, Loss_Reg=0.111515, Lambda=0.066667, Loss_Rev=1.003550, Loss_All=1.115065, Time=0.0504
25-08-06 14:51:16.829 - INFO: 0001 00007 diff=0.209848, exp_diff=0.209815, Loss_Reg=0.209848, Lambda=0.066667, Loss_Rev=1.888432, Loss_All=2.098279, Time=0.0503
25-08-06 14:51:16.881 - INFO: 0001 00008 diff=0.260173, exp_diff=0.260157, Loss_Reg=0.260173, Lambda=0.066667, Loss_Rev=2.341463, Loss_All=2.601636, Time=0.0496
25-08-06 14:51:16.933 - INFO: 0001 00009 diff=0.127710, exp_diff=0.127589, Loss_Reg=0.127710, Lambda=0.066667, Loss_Rev=1.148661, Loss_All=1.276371, Time=0.0498
25-08-06 14:51:16.988 - INFO: 0001 00010 diff=0.091118, exp_diff=0.090927, Loss_Reg=0.091118, Lambda=0.066667, Loss_Rev=0.818917, Loss_All=0.910036, Time=0.0525
25-08-06 14:51:17.039 - INFO: 0001 00011 diff=0.024002, exp_diff=0.023997, Loss_Reg=0.024002, Lambda=0.066667, Loss_Rev=0.215991, Loss_All=0.239993, Time=0.0496
25-08-06 14:51:17.093 - INFO: 0001 00012 diff=0.063255, exp_diff=0.063011, Loss_Reg=0.063255, Lambda=0.066667, Loss_Rev=0.567828, Loss_All=0.631083, Time=0.0501
25-08-06 14:51:17.146 - INFO: 0001 00013 diff=0.097056, exp_diff=0.097231, Loss_Reg=0.097056, Lambda=0.066667, Loss_Rev=0.874551, Loss_All=0.971607, Time=0.0498
25-08-06 14:51:17.198 - INFO: 0001 00014 diff=0.080903, exp_diff=0.080981, Loss_Reg=0.080903, Lambda=0.066667, Loss_Rev=0.728592, Loss_All=0.809495, Time=0.0495
25-08-06 14:51:17.250 - INFO: 0001 00015 diff=0.039265, exp_diff=0.039250, Loss_Reg=0.039265, Lambda=0.066667, Loss_Rev=0.353292, Loss_All=0.392557, Time=0.0495
25-08-06 14:51:17.302 - INFO: 0001 00016 diff=0.044822, exp_diff=0.044814, Loss_Reg=0.044822, Lambda=0.066667, Loss_Rev=0.403350, Loss_All=0.448172, Time=0.0500
25-08-06 14:51:17.358 - INFO: 0001 00017 diff=0.232444, exp_diff=0.232351, Loss_Reg=0.232444, Lambda=0.066667, Loss_Rev=2.091441, Loss_All=2.323885, Time=0.0517
25-08-06 14:51:17.411 - INFO: 0001 00018 diff=0.046140, exp_diff=0.046037, Loss_Reg=0.046140, Lambda=0.066667, Loss_Rev=0.414640, Loss_All=0.460780, Time=0.0498
25-08-06 14:51:17.464 - INFO: 0001 00019 diff=0.051169, exp_diff=0.051093, Loss_Reg=0.051169, Lambda=0.066667, Loss_Rev=0.460062, Loss_All=0.511232, Time=0.0495
25-08-06 14:51:17.518 - INFO: 0001 00020 diff=0.154006, exp_diff=0.153967, Loss_Reg=0.154006, Lambda=0.066667, Loss_Rev=1.385822, Loss_All=1.539828, Time=0.0502
25-08-06 14:51:17.571 - INFO: 0001 00021 diff=0.049436, exp_diff=0.049165, Loss_Reg=0.049436, Lambda=0.066667, Loss_Rev=0.443298, Loss_All=0.492734, Time=0.0499
25-08-06 14:51:17.624 - INFO: 0001 00022 diff=0.071545, exp_diff=0.071275, Loss_Reg=0.071545, Lambda=0.066667, Loss_Rev=0.642281, Loss_All=0.713826, Time=0.0497
25-08-06 14:51:17.680 - INFO: 0001 00023 diff=0.040736, exp_diff=0.040580, Loss_Reg=0.040736, Lambda=0.066667, Loss_Rev=0.365688, Loss_All=0.406424, Time=0.0524
25-08-06 14:51:17.734 - INFO: 0001 00024 diff=0.037867, exp_diff=0.037903, Loss_Reg=0.037867, Lambda=0.066667, Loss_Rev=0.341016, Loss_All=0.378883, Time=0.0498
25-08-06 14:51:17.787 - INFO: 0001 00025 diff=0.093390, exp_diff=0.093440, Loss_Reg=0.093390, Lambda=0.066667, Loss_Rev=0.840804, Loss_All=0.934194, Time=0.0498
25-08-06 14:51:17.840 - INFO: 0001 00026 diff=0.063161, exp_diff=0.063214, Loss_Reg=0.063161, Lambda=0.066667, Loss_Rev=0.568760, Loss_All=0.631921, Time=0.0498
25-08-06 14:51:17.893 - INFO: 0001 00027 diff=0.028370, exp_diff=0.028274, Loss_Reg=0.028370, Lambda=0.066667, Loss_Rev=0.254752, Loss_All=0.283123, Time=0.0497
25-08-06 14:51:17.949 - INFO: 0001 00028 diff=0.008233, exp_diff=0.008177, Loss_Reg=0.008233, Lambda=0.066667, Loss_Rev=0.073762, Loss_All=0.081995, Time=0.0518
25-08-06 14:51:18.001 - INFO: 0001 00029 diff=0.022797, exp_diff=0.022700, Loss_Reg=0.022797, Lambda=0.066667, Loss_Rev=0.204589, Loss_All=0.227387, Time=0.0495
25-08-06 14:51:18.054 - INFO: 0001 00030 diff=0.084000, exp_diff=0.082979, Loss_Reg=0.084000, Lambda=0.066667, Loss_Rev=0.749855, Loss_All=0.833855, Time=0.0497
25-08-06 14:51:18.107 - INFO: 0001 00031 diff=0.024932, exp_diff=0.024721, Loss_Reg=0.024932, Lambda=0.066667, Loss_Rev=0.223117, Loss_All=0.248049, Time=0.0492
25-08-06 14:51:18.160 - INFO: 0001 00032 diff=0.059293, exp_diff=0.059005, Loss_Reg=0.059293, Lambda=0.066667, Loss_Rev=0.531904, Loss_All=0.591197, Time=0.0495
25-08-06 14:51:18.213 - INFO: 0001 00033 diff=0.041118, exp_diff=0.040986, Loss_Reg=0.041118, Lambda=0.066667, Loss_Rev=0.369267, Loss_All=0.410385, Time=0.0496
25-08-06 14:51:18.266 - INFO: 0001 00034 diff=0.081654, exp_diff=0.081588, Loss_Reg=0.081654, Lambda=0.066667, Loss_Rev=0.734493, Loss_All=0.816147, Time=0.0496
25-08-06 14:51:18.319 - INFO: 0001 00035 diff=0.030036, exp_diff=0.030011, Loss_Reg=0.030036, Lambda=0.066667, Loss_Rev=0.270173, Loss_All=0.300209, Time=0.0494
25-08-06 14:51:18.373 - INFO: 0001 00036 diff=0.097763, exp_diff=0.097720, Loss_Reg=0.097763, Lambda=0.066667, Loss_Rev=0.879608, Loss_All=0.977372, Time=0.0497
25-08-06 14:51:18.426 - INFO: 0001 00037 diff=0.006944, exp_diff=0.006928, Loss_Reg=0.006944, Lambda=0.066667, Loss_Rev=0.062399, Loss_All=0.069343, Time=0.0495
25-08-06 14:51:18.479 - INFO: 0001 00038 diff=0.025780, exp_diff=0.025717, Loss_Reg=0.025780, Lambda=0.066667, Loss_Rev=0.231642, Loss_All=0.257422, Time=0.0495
25-08-06 14:51:18.531 - INFO: 0001 00039 diff=0.055117, exp_diff=0.054670, Loss_Reg=0.055117, Lambda=0.066667, Loss_Rev=0.493366, Loss_All=0.548484, Time=0.0493
25-08-06 14:51:18.585 - INFO: 0001 00040 diff=0.045987, exp_diff=0.045382, Loss_Reg=0.045987, Lambda=0.066667, Loss_Rev=0.410238, Loss_All=0.456226, Time=0.0495
