25-08-05 14:34:48.027 - INFO: ----------------------------------------------------
25-08-05 14:34:48.027 - INFO: ==> Resuming Training with learning rate:0.0003
25-08-05 14:34:48.027 - INFO: ----------------------------------------------------
25-08-05 14:34:56.943 - INFO: 0001 00000 diff=0.275687, exp_diff=0.275677, Loss_Reg=0.275687, Lambda=0.06666666666666667, Loss_Rev=2.481099, Loss_All=2.756786, Time=7.6344
25-08-05 14:35:02.523 - INFO: 0001 00001 diff=0.185751, exp_diff=0.185742, Loss_Reg=0.185751, Lambda=0.06666666666666667, Loss_Rev=1.671718, Loss_All=1.857469, Time=5.5781
25-08-05 14:35:07.998 - INFO: 0001 00002 diff=0.205629, exp_diff=0.205605, Loss_Reg=0.205629, Lambda=0.06666666666666667, Loss_Rev=1.850521, Loss_All=2.056150, Time=5.4745
25-08-05 14:35:13.452 - INFO: 0001 00003 diff=0.447991, exp_diff=0.447970, Loss_Reg=0.447991, Lambda=0.06666666666666667, Loss_Rev=4.031810, Loss_All=4.479802, Time=5.4530
25-08-05 14:35:18.872 - INFO: 0001 00004 diff=0.236278, exp_diff=0.236237, Loss_Reg=0.236278, Lambda=0.06666666666666667, Loss_Rev=2.126263, Loss_All=2.362541, Time=5.4193
25-08-05 14:35:24.282 - INFO: 0001 00005 diff=0.212850, exp_diff=0.212788, Loss_Reg=0.212850, Lambda=0.06666666666666667, Loss_Rev=1.915303, Loss_All=2.128153, Time=5.4100
25-08-05 14:35:29.734 - INFO: 0001 00006 diff=0.123992, exp_diff=0.123927, Loss_Reg=0.123992, Lambda=0.06666666666666667, Loss_Rev=1.115543, Loss_All=1.239535, Time=5.4507
25-08-05 14:35:35.177 - INFO: 0001 00007 diff=0.252889, exp_diff=0.252728, Loss_Reg=0.252889, Lambda=0.06666666666666667, Loss_Rev=2.275057, Loss_All=2.527946, Time=5.4417
25-08-05 14:35:40.631 - INFO: 0001 00008 diff=0.103843, exp_diff=0.103617, Loss_Reg=0.103843, Lambda=0.06666666666666667, Loss_Rev=0.933233, Loss_All=1.037075, Time=5.4534
25-08-05 14:35:46.056 - INFO: 0001 00009 diff=0.113553, exp_diff=0.113309, Loss_Reg=0.113553, Lambda=0.06666666666666667, Loss_Rev=1.020489, Loss_All=1.134042, Time=5.4249
25-08-05 14:35:53.600 - INFO: 0001 00010 diff=0.042438, exp_diff=0.042324, Loss_Reg=0.042438, Lambda=0.06666666666666667, Loss_Rev=0.381258, Loss_All=0.423695, Time=7.5422
25-08-05 14:35:59.047 - INFO: 0001 00011 diff=0.061311, exp_diff=0.061572, Loss_Reg=0.061311, Lambda=0.06666666666666667, Loss_Rev=0.553342, Loss_All=0.614654, Time=5.4468
